"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","3","0","0","0","0","3","3","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","176","80","0","97","12","365","288","CONFIRMATION MAIL","1","3","4","5","0","13"
"DESIGNATED STATE AGENCIES","","207","61","2","156","16","442","53","COUNTY TRANSFER - OUT","5,624","1,576","79","2,049","157","9,485"
"ELDERLY / DISABLED / SOC SEC","","96","23","2","51","7","179","0","CRIMINAL CONVICTION","4","2","0","2","2","10"
"ERIC REPORT","","2222","542","31","740","53","3,588","15","DEATH NOTICE","2,384","1,008","2","429","49","3,872"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","128","44","0","38","3","213"
"PROVISIONAL BALLOT","","2","0","0","0","0","2","22","MAIL VERIFICATION (NVRA)","7,725","3,486","141","3,759","239","15,350"
"IN PERSON","","4","3","0","6","0","13","12","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","8304","2792","144","6077","431","17,748","364","MOVED OUT OF STATE","266","150","0","120","5","541"
"NVRA BY MAIL","","10","5","0","4","0","19","1","OTHER","14","3","0","9","2","28"
"ONLINE REGISTRATION","","169","59","3","100","9","340","3","VOTER REQUEST","16","13","0","13","1","43"
"OTHER MEANS","","35","25","0","24","2","86","45","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SAME DAY REGISTRATION","","1","0","0","0","0","0","1","","","","","","",""
"SOCIAL SERVICES","","0","2","0","2","0","4","0","","","","","","",""
"VOLUNTEER","","12","2","0","12","0","26","0","","","","","","",""
"TOTAL","","11,241","3,594","182","7,269","530","22,815","807","TOTAL","16,162","6,285","226","6,424","458","29,555"
