"","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","3","0","0","0","0","0","3","16","BOARD ACTION","0","0","0","0","0","0","0"
"","BY MAIL","334","112","3","1","141","20","611","183","CONFIRMATION MAIL","21","39","1","0","17","0","78"
"","DESIGNATED STATE AGENCIES","16","15","0","0","9","2","42","8","COUNTY TRANSFER - OUT","6,251","2,414","38","84","2,446","87","11,320"
"","ELDERLY / DISABLED / SOC SEC","223","67","1","4","120","4","419","4","CRIMINAL CONVICTION","124","25","2","0","48","3","202"
"","ERIC REPORT","3493","1390","16","38","1488","55","6,480","206","DEATH NOTICE","2,226","1,032","3","4","347","38","3,650"
"","FROM ANOTHER BOARD","3","7","0","0","3","0","13","10","DUPLICATE","166","36","0","3","35","7","247"
"","PROVISIONAL BALLOT","6","0","0","0","3","0","9","6","MAIL VERIFICATION (NVRA)","15,462","7,904","114","269","8,257","208","32,214"
"","IN PERSON","18","7","1","0","1","0","27","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","6309","3119","55","156","3534","71","13,244","1,065","MOVED OUT OF STATE","908","705","4","16","448","20","2,101"
"","NVRA BY MAIL","12","9","0","0","7","1","29","1","OTHER","50","12","2","0","34","4","102"
"","ONLINE REGISTRATION","124","40","6","4","74","1","249","8","VOTER REQUEST","14","8","0","0","6","0","28"
"","OTHER MEANS","38","34","0","0","29","1","102","128","","","","","","","","0"
"","RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"","SOCIAL SERVICES","10","2","0","0","2","0","14","7","","","","","","","",""
"","VOLUNTEER","153","28","0","0","108","0","289","0","","","","","","","",""
"","TOTAL","10,742","4,830","82","203","5,519","155","21,531","1,644","TOTAL","25,222","12,175","164","376","11,638","367","49,942"
