"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","0","0","0","0","0","0","0","4","3","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","44","22","0","0","4","0","16","0","86","76","COUNTY TRANSFER - OUT","105","36","0","0","2","1","42","2","188"
"DESIGNATED STATE AGENCIES","5","0","0","0","0","0","2","0","7","0","CRIMINAL CONVICTION","7","0","0","0","0","0","0","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","6","1","0","0","0","0","1","0","8"
"FROM ANOTHER BOARD","4","1","0","0","0","0","1","0","6","2","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","5","0","0","0","0","0","0","0","5","40","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","148","42","2","0","24","1","79","0","296","95","MOVED OUT OF STATE","74","35","0","0","3","0","29","0","141"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","16","3","1","0","0","0","6","0","26"
"OTHER MEANS","6","1","1","0","0","0","3","0","11","535","VOTER REQUEST","4","1","0","0","0","0","0","0","5"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","10","1","0","0","1","0","3","0","15"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"TOTAL","216","66","3","0","28","1","101","0","415","758","TOTAL","222","77","1","0","6","1","81","2","390"
