"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","9","4","0","0","0","0","3","0","16","2","COUNTY TRANSFER - OUT","15","11","0","0","0","0","4","0","30"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","25","17","0","0","0","0","5","1","48"
"FROM ANOTHER BOARD","1","2","0","0","0","0","0","0","3","1","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","43","28","2","0","2","0","25","2","102","23","MOVED OUT OF STATE","7","5","0","0","0","0","3","0","15"
"NVRA BY MAIL","1","2","0","0","0","0","2","0","5","0","OTHER","1","1","0","0","0","0","0","0","2"
"OTHER MEANS","0","0","0","0","0","0","1","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","51","20","1","0","0","2","19","2","95"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","6","0","0","0","0","0","0","0","6","0","","","","","","","","","",""
"TOTAL","60","37","2","0","2","0","31","2","134","26","TOTAL","100","54","1","0","0","2","31","3","191"
