"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","21","8","0","0","1","0","6","0","36","1","COUNTY TRANSFER - OUT","31","16","0","0","0","0","5","0","52"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","3","1","0","0","0","0","1","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","8","2","0","0","0","0","0","0","10"
"FROM ANOTHER BOARD","4","0","0","0","0","0","0","0","4","0","DUPLICATE","1","0","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","2","0","0","1","0","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","149","30","0","0","18","1","46","0","244","34","MOVED OUT OF STATE","14","13","0","0","0","0","2","0","29"
"NVRA BY MAIL","1","0","0","0","0","0","1","0","2","0","OTHER","5","2","0","0","0","0","0","0","7"
"OTHER MEANS","1","0","0","0","0","0","1","0","2","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","1","0","0","0","0","1","0","4"
"SOCIAL SERVICES","1","1","0","0","0","0","1","0","3","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","178","41","0","0","20","1","55","0","295","35","TOTAL","64","35","0","0","0","0","9","0","108"
