"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","1","0","0","0","0","2","0","6","2","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","258","97","1","1","1","0","118","14","490","1,753","CONFIRMATION MAIL","2","1","0","0","0","0","0","0","3"
"DESIGNATED STATE AGENCIES","281","42","0","1","7","0","173","26","530","21","COUNTY TRANSFER - OUT","4,370","1,362","17","42","6","2","1,560","87","7,446"
"ELDERLY / DISABLED / SOC SEC","278","44","2","1","3","1","155","102","586","1","CRIMINAL CONVICTION","29","11","0","0","0","0","10","1","51"
"ERIC REPORT","6","1","0","1","0","0","1","0","9","3","DEATH NOTICE","2,183","972","2","8","1","0","364","40","3,570"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","14","5","0","0","0","0","3","3","25"
"PROVISIONAL BALLOT","2","0","0","0","0","0","1","0","3","1","MAIL VERIFICATION (NVRA)","7,072","3,998","34","107","11","6","3,619","143","14,990"
"IN PERSON","15","2","0","0","0","0","3","0","20","45","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","9858","2853","45","161","24","8","5023","169","18,141","1,007","MOVED OUT OF STATE","290","342","1","2","0","2","141","8","786"
"NVRA BY MAIL","8","1","0","0","0","0","1","0","10","2","OTHER","9","1","1","0","0","0","5","2","18"
"ONLINE REGISTRATION","246","57","2","3","1","1","126","6","442","3","VOTER REQUEST","15","7","1","0","0","0","7","2","32"
"OTHER MEANS","101","21","0","2","0","0","31","2","157","115","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY PROVISIONAL","2","3","0","0","0","0","0","0","5","1","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","6","3","0","0","0","0","1","0","10","1","","","","","","","","","",""
"TOTAL","11,064","3,125","50","170","36","10","5,635","319","20,409","2,955","TOTAL","13,984","6,699","56","159","18","10","5,709","286","26,921"
