"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","32","33","0","0","25","0","90","1","COUNTY TRANSFER - OUT","24","20","0","3","8","1","56"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","1","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","18","13","0","0","7","0","38"
"FROM ANOTHER BOARD","0","1","0","0","0","0","1","0","DUPLICATE","3","0","0","0","2","0","5"
"PROVISIONAL BALLOT","5","8","0","0","0","0","13","0","MAIL VERIFICATION (NVRA)","6","6","0","0","0","0","12"
"IN PERSON","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","46","63","1","1","53","0","164","1","MOVED OUT OF STATE","6","8","0","1","3","0","18"
"NVRA BY MAIL","0","4","0","1","1","0","6","0","OTHER","1","0","0","0","2","0","3"
"OTHER MEANS","2","0","0","0","0","0","2","0","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","8","6","0","0","1","0","15"
"SOCIAL SERVICES","2","0","0","0","2","0","4","1","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","87","110","1","2","81","1","282","3","TOTAL","66","54","0","4","23","1","148"
