"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","28","31","0","0","9","0","68","0","COUNTY TRANSFER - OUT","20","10","0","0","5","2","37"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","1","0","0","0","0","2","0","DEATH NOTICE","10","14","0","0","1","0","25"
"FROM ANOTHER BOARD","2","0","0","0","0","0","2","0","DUPLICATE","2","2","0","0","0","0","4"
"PROVISIONAL BALLOT","3","2","0","0","0","0","5","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","4","0","0","2","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","16","25","1","0","18","0","60","14","MOVED OUT OF STATE","6","12","0","1","8","0","27"
"NVRA BY MAIL","0","1","0","0","3","0","4","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","99","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","1","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","4","1","0","0","3","0","8","0","","","","","","","",""
"TOTAL","56","66","1","0","35","0","158","113","TOTAL","39","38","0","1","14","2","94"
