"Somerset","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","23","14","0","0","2","1","40","0","COUNTY TRANSFER - OUT","38","10","0","0","10","0","58"
"DESIGNATED STATE AGENCIES","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","0","1","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","9","11","0","1","0","0","21"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","1","1","0","0","0","0","2","0","MAIL VERIFICATION (NVRA)","24","1","0","0","2","0","27"
"IN PERSON","0","1","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","17","18","0","1","10","1","47","0","MOVED OUT OF STATE","8","2","0","0","0","0","10"
"NVRA BY MAIL","7","3","0","0","1","0","11","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","2","0","0","0","0","0","2","0","VOTER REQUEST","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","1","0","2","0","","","","","","","",""
"VOLUNTEER","28","0","0","0","4","0","32","0","","","","","","","",""
"TOTAL","79","37","0","1","19","2","138","0","TOTAL","79","25","0","1","13","0","118"
