"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","21","21","1","0","16","1","60","14","COUNTY TRANSFER - OUT","22","22","0","0","8","0","52"
"DESIGNATED STATE AGENCIES","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","35","31","0","0","5","0","71"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","1","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","3","10","0","0","0","0","13","8","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","3","4","0","0","1","0","8","14","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","98","95","2","2","75","0","272","48","MOVED OUT OF STATE","13","18","0","0","9","0","40"
"NVRA BY MAIL","5","6","0","0","4","0","15","1","OTHER","1","8","0","0","2","0","11"
"OTHER MEANS","2","0","0","0","0","0","2","0","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","3","0","4","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","133","136","3","2","100","1","375","88","TOTAL","71","80","0","0","25","0","176"
