"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","173","69","3","1","90","6","342","228","COUNTY TRANSFER - OUT","592","258","2","8","319","14","1,193"
"DESIGNATED STATE AGENCIES","4","1","0","0","6","0","11","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","DEATH NOTICE","15","14","0","1","2","0","32"
"FROM ANOTHER BOARD","1","4","0","0","0","2","7","2","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","49","23","0","0","4","0","76","69","MAIL VERIFICATION (NVRA)","18","2","0","0","3","0","23"
"IN PERSON","8","6","0","0","3","1","18","61","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","317","138","3","9","200","5","672","80","MOVED OUT OF STATE","32","22","1","0","9","3","67"
"NVRA BY MAIL","19","7","0","0","4","1","31","0","OTHER","5","4","0","0","3","1","13"
"OTHER MEANS","1","2","0","0","2","0","5","138","VOTER REQUEST","1","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","0","0","1"
"SOCIAL SERVICES","4","1","0","0","2","0","7","2","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","578","251","6","10","311","15","1,171","580","TOTAL","663","301","3","9","338","18","1,332"
