"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","1","0","1","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","77","30","1","3","23","0","134","12","COUNTY TRANSFER - OUT","107","35","2","0","24","1","169"
"DESIGNATED STATE AGENCIES","7","0","0","0","0","0","7","0","CRIMINAL CONVICTION","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","6","2","0","0","1","0","9"
"FROM ANOTHER BOARD","1","1","0","0","1","0","3","0","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","28","5","0","0","0","0","33","3","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","21","6","0","0","3","0","30","11","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","270","67","2","1","87","3","430","56","MOVED OUT OF STATE","21","11","1","0","3","2","38"
"NVRA BY MAIL","21","6","0","0","9","0","36","1","OTHER","2","0","0","0","1","0","3"
"OTHER MEANS","17","1","0","0","4","0","22","3","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","4","1","0","0","1","0","6","1","","","","","","","",""
"VOLUNTEER","8","2","0","0","3","0","13","0","","","","","","","",""
"TOTAL","454","119","3","4","132","3","715","88","TOTAL","136","48","3","0","31","3","221"
