"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","1","0","0","2","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","67","75","0","0","31","6","179","1","COUNTY TRANSFER - OUT","129","66","0","0","58","2","255"
"DESIGNATED STATE AGENCIES","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","1","1","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","37","25","0","0","6","0","68"
"FROM ANOTHER BOARD","0","2","0","0","0","1","3","0","DUPLICATE","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","15","18","0","0","0","0","33","0","MAIL VERIFICATION (NVRA)","105","61","0","1","49","0","216"
"IN PERSON","4","11","0","0","4","0","19","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","187","148","1","8","126","5","475","23","MOVED OUT OF STATE","39","68","0","2","22","1","132"
"NVRA BY MAIL","29","33","0","0","23","0","85","1","OTHER","8","6","0","0","6","0","20"
"OTHER MEANS","8","4","0","0","7","0","19","0","VOTER REQUEST","1","0","0","0","3","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","1","0","0","0","0","2"
"SOCIAL SERVICES","3","0","0","0","2","0","5","1","","","","","","","",""
"VOLUNTEER","2","1","0","0","0","0","3","0","","","","","","","",""
"TOTAL","315","293","1","9","194","12","824","26","TOTAL","322","228","0","3","144","3","700"
