"Kent","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","13","5","0","0","3","0","21","0","COUNTY TRANSFER - OUT","5","3","0","0","0","0","8"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","6","1","0","0","0","0","7"
"FROM ANOTHER BOARD","0","1","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","5","1","0","0","0","0","6","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","1","2","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","14","7","0","0","5","0","26","2","MOVED OUT OF STATE","2","1","0","0","2","0","5"
"NVRA BY MAIL","4","1","0","0","0","0","5","1","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","1","0","0","1","1","0","3","0","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","7","9","0","0","2","0","18"
"SOCIAL SERVICES","3","2","0","0","0","0","5","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","41","20","0","1","9","0","71","3","TOTAL","21","14","0","0","4","0","39"
