"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","","WCP UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","0","0","0","0","1","0","4","278","BOARD ACTION","3","1","0","0","0","1","0","5"
"BY MAIL","162","94","1","1","0","54","4","316","316","CONFIRMATION MAIL","7","2","0","0","0","7","0","16"
"DESIGNATED STATE AGENCIES","323","96","0","1","8","247","13","688","46","COUNTY TRANSFER - OUT","3,982","1,405","20","36","9","1,541","87","7,080"
"ELDERLY / DISABLED / SOC SEC","164","32","2","0","4","87","15","304","0","CRIMINAL CONVICTION","90","14","0","0","0","30","3","137"
"ERIC REPORT","1","2","0","0","0","0","0","3","5","DEATH NOTICE","139","76","0","0","0","16","3","234"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","119","48","1","1","1","52","4","226"
"PROVISIONAL BALLOT","0","0","0","0","0","0","1","1","3","MAIL VERIFICATION (NVRA)","197","738","0","6","0","114","5","1,060"
"IN PERSON","21","13","0","0","0","6","0","40","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","9075","3156","45","145","81","6164","271","18,937","519","MOVED OUT OF STATE","117","84","0","1","0","61","4","267"
"NVRA BY MAIL","13","6","0","0","0","4","0","23","2","OTHER","31","9","0","0","1","25","0","66"
"ONLINE REGISTRATION","289","98","1","4","3","150","3","548","9","VOTER REQUEST","21","14","0","1","0","10","0","46"
"OTHER MEANS","68","31","0","1","1","52","15","168","206","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SAME DAY PROVISIONAL","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","6","3","0","0","0","3","0","12","0","","","","","","","","",""
"TOTAL","10,125","3,531","49","152","97","6,768","322","21,044","1,388","TOTAL","4,706","2,391","21","45","11","1,857","106","9,137"
