"","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","10","0","0","0","0","10","2","","BOARD ACTION","0","0","0","2","0","2"
"","BY MAIL","332","93","0","146","26","597","0","","CONFIRMATION MAIL","8","3","0","3","1","15"
"","DESIGNATED STATE AGENCIES","222","54","0","94","16","386","86","","COUNTY TRANSFER - OUT","3,496","1,261","0","1,311","141","6,209"
"","ELDERLY / DISABLED / SOC SEC","165","48","0","67","5","285","0","","CRIMINAL CONVICTION","159","31","0","42","6","238"
"","ERIC REPORT","0","0","0","0","0","0","0","","DEATH NOTICE","1,694","794","0","275","39","2,802"
"","FROM ANOTHER BOARD","2","0","0","0","0","2","0","","DUPLICATE","23","6","0","4","2","35"
"","PROVISIONAL BALLOT","0","0","0","0","0","0","0","","MAIL VERIFICATION (NVRA)","2,870","997","0","1,395","166","5,428"
"","IN PERSON","10","13","0","7","0","30","5","","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","9050","3520","21","5197","248","18,036","428","","MOVED OUT OF STATE","509","315","0","228","32","1,084"
"","NVRA BY MAIL","14","4","0","11","0","29","9","","OTHER","10","4","0","6","2","22"
"","ONLINE REGISTRATION","217","59","0","100","10","386","9","","VOTER REQUEST","14","5","0","3","1","23"
"","OTHER MEANS","24","5","0","9","1","39","1","","","","","","","",""
"","RECRUITING","1","0","0","0","0","0","0","","","","","","","",""
"","SOCIAL SERVICES","0","0","0","0","0","0","0","","","","","","","",""
"","VOLUNTEER","29","9","0","17","1","56","0","","","","","","","",""
"","TOTAL","10,076","3,805","21","5,648","307","19,856","540","","TOTAL","8,783","3,416","0","3,269","390","15,858"
