"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","1","0","0","0","0","4","5","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","23","32","0","0","9","0","64","36","COUNTY TRANSFER - OUT","53","26","1","0","12","2","94"
"DESIGNATED STATE AGENCIES","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","3","0","0","0","1","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","65","53","0","0","11","3","132"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","2","DUPLICATE","1","0","0","0","2","0","3"
"PROVISIONAL BALLOT","0","1","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","8","19","0","0","2","1","30","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","101","61","2","3","55","0","222","29","MOVED OUT OF STATE","2","1","0","0","4","0","7"
"NVRA BY MAIL","5","1","0","0","2","1","9","2","OTHER","2","0","0","0","0","0","2"
"OTHER MEANS","3","0","0","0","0","0","3","2","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","3","0","0","0","2","1","6","6","","","","","","","",""
"VOLUNTEER","3","3","0","0","0","0","6","0","","","","","","","",""
"TOTAL","149","118","2","3","71","3","346","84","TOTAL","126","80","1","0","30","5","242"
