"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","9","0","0","1","0","15","1","BOARD ACTION","3","0","0","0","1","1","5"
"BY MAIL","509","72","1","2","144","8","736","77","COUNTY TRANSFER - OUT","602","121","1","3","125","25","877"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","22","2","0","0","2","1","27"
"ELDERLY / DISABLED","47","1","0","0","10","0","58","23","DEATH NOTICE","615","102","0","0","26","20","763"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","3","DUPLICATE","61","9","0","0","12","5","87"
"PROVISIONAL BALLOT","22","2","0","0","0","0","24","6","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","43","6","0","0","15","0","64","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,614","131","4","10","389","3","2,151","74","MOVED OUT OF STATE","88","18","0","1","18","5","130"
"NVRA BY MAIL","2","0","0","0","1","0","3","0","OTHER","46","4","1","0","34","2","87"
"OTHER MEANS","101","11","1","1","35","2","151","246","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","1","0","1","0","CONFIRMATION MAIL","3","1","0","0","0","0","4"
"SOCIAL SERVICES","14","0","0","0","4","0","18","3","","","","","","","",""
"VOLUNTEER","57","4","0","0","10","0","71","0","","","","","","","",""
"TOTAL","2,415","236","6","13","610","13","3,293","433","TOTAL","1,440","257","2","4","218","59","1,980"
