"Queen Anne's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","1","0","0","1","0","5","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","7","12","0","0","6","0","25","0","COUNTY TRANSFER - OUT","20","16","0","2","5","0","43"
"DESIGNATED STATE AGENCIES","0","4","0","0","1","0","5","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","1","4","0","0","0","0","5","1","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","1","7","0","0","0","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","36","36","0","1","31","1","105","3","MOVED OUT OF STATE","0","0","0","0","0","0","0"
"NVRA BY MAIL","11","37","0","1","18","0","67","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","10","16","0","0","9","1","36","74","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","1","0","0","1","0","2","0","","","","","","","",""
"VOLUNTEER","5","7","0","0","8","0","20","0","","","","","","","",""
"TOTAL","74","125","0","2","75","2","278","78","TOTAL","20","16","0","2","5","0","43"
