"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","30","10","0","0","2","0","8","1","51","5","COUNTY TRANSFER - OUT","22","8","0","0","0","0","14","2","46"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","0","0","1","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","46","15","0","0","0","0","8","1","70"
"FROM ANOTHER BOARD","1","1","0","0","0","0","0","1","3","1","DUPLICATE","2","0","0","0","0","0","0","1","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","0","0","0","2","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","197","51","1","0","12","1","37","2","301","34","MOVED OUT OF STATE","13","12","0","0","0","0","9","1","35"
"NVRA BY MAIL","1","0","0","0","0","0","2","0","3","0","OTHER","0","1","0","0","0","0","0","0","1"
"OTHER MEANS","2","3","0","0","0","0","3","0","8","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","233","65","1","0","14","1","50","4","368","41","TOTAL","84","37","0","0","0","0","32","5","158"
