"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","1","0","0","1","0","3","0","12","79","BOARD ACTION","160","134","2","0","1","0","109","3","409"
"BY MAIL","589","275","5","0","38","8","210","7","1,132","610","COUNTY TRANSFER - OUT","1,480","618","9","0","15","8","442","31","2,603"
"DESIGNATED STATE AGENCIES","52","17","0","0","1","0","20","0","90","11","CRIMINAL CONVICTION","87","29","3","0","1","2","27","1","150"
"ELDERLY / DISABLED","5","2","0","0","0","0","1","0","8","2","DEATH NOTICE","521","250","0","0","0","3","67","10","851"
"FROM ANOTHER BOARD","270","47","0","1","19","1","63","4","405","70","DUPLICATE","180","46","0","0","1","0","49","16","292"
"PROVISIONAL BALLOT","10","3","0","0","0","0","1","0","14","208","MAIL VERIFICATION (NVRA)","1,264","1,047","17","0","4","8","791","8","3,139"
"IN PERSON","26","12","2","0","2","0","4","0","46","11","MENTAL INCOMPETENCY","0","2","0","0","0","0","0","0","2"
"MOTOR VEHICLE ADMINISTRATION","3,070","1,363","26","4","458","28","1,267","26","6,242","1,583","MOVED OUT OF STATE","690","368","10","0","10","10","291","30","1,409"
"NVRA BY MAIL","65","34","1","0","6","2","24","0","132","15","OTHER","110","35","1","0","7","1","36","6","196"
"OTHER MEANS","576","383","7","1","67","6","234","17","1,291","1,854","VOTER REQUEST","7","3","0","0","0","0","3","0","13"
"RECRUITING","0","0","0","0","0","0","0","0","0","2","CONFIRMATION MAIL","5,615","1,556","42","0","18","22","1,479","48","8,780"
"SOCIAL SERVICES","10","4","0","0","0","0","2","0","16","33","","","","","","","","","",""
"VOLUNTEER","29","17","1","0","2","0","12","1","62","1","","","","","","","","","",""
"TOTAL","4,709","2,158","42","6","594","45","1,841","55","9,450","4,479","TOTAL","10,114","4,088","84","0","57","54","3,294","153","17,844"
