"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","15","18","0","0","3","0","7","1","44","250","COUNTY TRANSFER - OUT","23","27","0","0","0","0","12","0","62"
"DESIGNATED STATE AGENCIES","2","4","0","0","0","0","2","0","8","0","CRIMINAL CONVICTION","1","2","0","0","0","0","3","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","2","1","0","0","0","0","1","0","4"
"FROM ANOTHER BOARD","5","3","0","0","0","0","0","0","8","2","DUPLICATE","0","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","142","164","2","0","0","1","113","0","422"
"IN PERSON","0","0","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","84","64","1","1","14","1","45","0","210","33","MOVED OUT OF STATE","8","13","0","0","0","2","10","0","33"
"NVRA BY MAIL","13","2","0","0","0","0","6","0","21","3","OTHER","2","2","0","0","0","0","0","0","4"
"OTHER MEANS","4","7","0","0","0","0","1","0","12","3","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","2","CONFIRMATION MAIL","201","189","2","0","0","0","157","1","550"
"SOCIAL SERVICES","3","1","0","0","0","0","1","0","5","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","127","99","1","1","17","1","63","1","310","293","TOTAL","379","399","4","0","0","3","296","1","1,082"
