"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","254","83","1","2","42","7","389","815","BOARD ACTION","1","0","1","0","2","0","4"
"BY MAIL","1648","590","8","21","592","40","2,899","524","CONFIRMATION MAIL","4","2","0","0","4","1","11"
"DESIGNATED STATE AGENCIES","156","24","0","3","263","10","456","22","COUNTY TRANSFER - OUT","8,353","2,476","43","126","2,757","105","13,860"
"ELDERLY / DISABLED / SOC SEC","3662","615","12","40","1563","56","5,948","21","CRIMINAL CONVICTION","213","40","2","1","63","2","321"
"ERIC REPORT","2","1","0","0","1","0","4","1","DEATH NOTICE","1,463","700","2","3","220","27","2,415"
"FROM ANOTHER BOARD","31","6","0","0","4","1","42","31","DUPLICATE","78","12","2","0","22","6","120"
"PROVISIONAL BALLOT","156","29","0","2","36","2","225","272","MAIL VERIFICATION (NVRA)","1","1","0","0","1","0","3"
"IN PERSON","418","131","3","4","128","1","685","30","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6477","2292","25","129","3192","58","12,173","350","MOVED OUT OF STATE","1,269","624","5","30","507","29","2,464"
"NVRA BY MAIL","138","50","0","1","38","1","228","48","OTHER","135","24","1","2","66","2","230"
"ONLINE REGISTRATION","9520","2862","79","186","4390","141","17,178","429","VOTER REQUEST","36","8","0","0","12","0","56"
"OTHER MEANS","475","80","5","4","192","9","765","729","","","","","","","",""
"RECRUITING","0","1","0","0","0","0","1","0","","","","","","","",""
"SOCIAL SERVICES","7","2","0","0","7","0","16","14","","","","","","","",""
"SAME DAY REGISTRATION","1290","349","2","4","343","16","2,004","102","","","","","","","",""
"VOLUNTEER","1112","140","11","12","363","12","1,650","0","","","","","","","",""
"TOTAL","25,346","7,255","146","408","11,154","354","44,663","3,388","TOTAL","11,553","3,887","56","162","3,654","172","19,484"
