"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","222","28","1","0","1","62","1","315","574","COUNTY TRANSFER - OUT","260","44","0","0","3","62","12","381"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","0","0","2","23","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","3","0","0","0","0","3","0","6","4","DEATH NOTICE","413","90","1","0","0","27","23","554"
"FROM ANOTHER BOARD","9","1","0","0","0","2","1","13","49","DUPLICATE","245","22","1","0","0","30","22","320"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","959","101","4","0","3","166","48","1,281"
"IN PERSON","2","0","0","0","0","1","0","3","11","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","783","87","3","1","2","241","7","1,124","118","MOVED OUT OF STATE","64","18","2","0","0","11","4","99"
"NVRA BY MAIL","1","0","0","0","0","0","0","1","2","OTHER","16","3","0","0","0","10","2","31"
"OTHER MEANS","29","1","1","0","0","7","0","38","7,079","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","373","38","1","0","1","68","16","497"
"SOCIAL SERVICES","7","0","0","0","0","2","0","9","24","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","2","0","2","0","","","","","","","","",""
"TOTAL","1,058","117","5","1","3","320","9","1,513","7,886","TOTAL","2,330","316","9","0","7","374","127","3,163"
