"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","1","1"
"BY MAIL","145","34","1","0","1","52","2","235","0","COUNTY TRANSFER-OUT","532","179","1","0","1","77","2","792"
"DESIGNATED STATE AGENCIES","118","15","0","0","2","23","0","158","0","CRIMINAL CONVICTION","24","5","0","0","0","6","0","35"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","605","216","0","0","2","40","8","871"
"FROM ANOTHER BOARD","2","0","0","0","0","0","0","2","0","DUPLICATE","18","5","0","0","0","3","0","26"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","389","118","5","0","0","93","3","608"
"IN PERSON","3","0","0","0","0","1","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","780","248","5","0","12","354","5","1,404","4","MOVED OUT OF STATE","58","44","1","0","0","10","1","114"
"NVRA BY MAIL","30","7","1","1","0","15","1","55","0","OTHER","18","7","0","0","0","10","0","35"
"OTHER MEANS","5","2","0","0","0","2","0","9","125","VOTER REQUEST","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","10","4","0","0","1","7","0","22","3","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,094","310","7","1","16","454","8","1,890","132","TOTAL","1,644","574","7","0","3","240","15","2,483"
