"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","47","28","0","0","1","22","0","98","3","COUNTY TRANSFER - OUT","27","33","0","0","1","14","1","76"
"DESIGNATED STATE AGENCIES","1","2","0","0","0","1","0","4","0","CRIMINAL CONVICTION","0","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","2","5","0","0","0","1","0","8"
"FROM ANOTHER BOARD","1","2","0","0","0","0","0","3","1","DUPLICATE","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","3","4","0","0","0","2","0","9"
"IN PERSON","1","0","0","0","0","2","0","3","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","97","96","2","1","3","111","1","311","50","MOVED OUT OF STATE","13","10","0","0","0","11","0","34"
"NVRA BY MAIL","7","2","1","0","0","3","0","13","1","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","1","2","0","0","0","1","0","4","71","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","1","0","1","1","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","155","132","3","1","4","141","1","437","131","TOTAL","47","53","0","0","1","29","1","131"
