"Allegany","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","3","4","0","0","0","5","0","12","0","COUNTY TRANSFER - OUT","6","5","0","0","0","2","0","13"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","54","59","0","0","0","7","0","120"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","2","1","0","0","0","0","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","62","51","1","0","1","26","2","143"
"IN PERSON","1","1","0","0","0","2","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","22","25","0","0","0","21","0","68","10","MOVED OUT OF STATE","35","54","0","0","1","21","2","113"
"NVRA BY MAIL","1","1","0","0","0","0","0","2","1","OTHER","0","4","1","0","0","0","0","5"
"OTHER MEANS","3","7","0","0","0","0","0","10","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","30","38","0","0","0","28","0","96","11","TOTAL","159","174","2","0","2","56","4","397"
