"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","100","40","1","0","0","57","2","200","162","COUNTY TRANSFER - OUT","236","82","3","0","1","95","1","418"
"DESIGNATED STATE AGENCIES","4","0","0","0","0","3","0","7","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","5","DEATH NOTICE","8","3","0","0","0","6","0","17"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","6","DUPLICATE","16","6","0","0","0","8","0","30"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","814","318","7","0","10","412","1","1,562"
"IN PERSON","0","0","0","0","0","1","0","1","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","718","200","7","0","2","525","7","1,459","234","MOVED OUT OF STATE","299","112","2","0","4","150","0","567"
"NVRA BY MAIL","3","2","0","0","0","3","0","8","3","OTHER","36","11","0","0","1","21","0","69"
"OTHER MEANS","253","103","6","0","2","168","3","535","81","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","3","0","0","0","3","0","9"
"SOCIAL SERVICES","0","0","0","0","0","1","0","1","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,079","345","14","0","4","758","12","2,212","494","TOTAL","1,413","535","12","0","16","695","2","2,673"
