"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","114","56","1","0","0","45","0","216","30","COUNTY TRANSFER - OUT","121","60","1","0","2","65","0","249"
"DESIGNATED STATE AGENCIES","19","5","0","0","0","4","1","29","8","CRIMINAL CONVICTION","4","2","0","0","0","0","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","30","19","0","0","0","9","0","58"
"FROM ANOTHER BOARD","4","1","0","0","0","2","0","7","4","DUPLICATE","38","32","0","0","0","14","0","84"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1,450","1,334","19","0","25","907","2","3,737"
"IN PERSON","1","2","0","0","0","0","0","3","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","280","191","2","0","6","223","0","702","123","MOVED OUT OF STATE","122","151","1","0","0","77","0","351"
"NVRA BY MAIL","20","12","0","0","1","17","0","50","6","OTHER","3","0","0","0","0","3","0","6"
"OTHER MEANS","6","4","0","0","0","3","0","13","10","VOTER REQUEST","1","1","0","0","0","1","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","2","0","0","0","1","0","4"
"SOCIAL SERVICES","3","0","0","0","0","2","0","5","2","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","447","271","3","0","7","296","1","1,025","184","TOTAL","1,770","1,601","21","0","27","1,077","2","4,498"
