"Garrett","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","4","4","1","0","0","2","0","11","0","COUNTY TRANSFER - OUT","2","3","0","0","0","4","1","10"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","2","0","2","0","CRIMINAL CONVICTION","0","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","7","8","0","0","0","2","0","17"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","9","5","0","0","0","2","0","16"
"IN PERSON","1","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","5","17","0","0","1","10","0","33","5","MOVED OUT OF STATE","1","1","0","0","0","0","0","2"
"NVRA BY MAIL","0","1","0","0","0","0","0","1","0","OTHER","1","0","0","0","0","1","0","2"
"OTHER MEANS","2","44","0","0","0","4","2","52","1","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","12","66","1","0","1","18","2","100","6","TOTAL","20","18","0","0","0","9","1","48"
