"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","5","BOARD ACTION","3","1","0","0","0","3","0","7"
"BY MAIL","305","58","0","0","0","35","0","398","97","COUNTY TRANSFER - OUT","614","90","2","0","3","122","3","834"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","1","CRIMINAL CONVICTION","7","1","0","0","0","2","0","10"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","1","DEATH NOTICE","648","64","0","0","1","28","5","746"
"FROM ANOTHER BOARD","2","1","0","0","0","0","0","3","1","DUPLICATE","346","47","4","0","1","53","3","454"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","109","MAIL VERIFICATION (NVRA)","8","3","0","0","0","2","0","13"
"IN PERSON","1","0","0","0","0","1","0","2","8","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","531","98","2","0","2","173","8","814","200","MOVED OUT OF STATE","115","32","0","0","2","50","2","201"
"NVRA BY MAIL","1","0","0","0","0","1","0","2","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","34","0","0","0","0","2","0","36","29","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","60","10","0","0","0","11","0","81"
"SOCIAL SERVICES","15","0","0","0","0","9","0","24","1","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","1","","","","","","","","",""
"TOTAL","889","157","2","0","2","221","8","1,279","453","TOTAL","1,802","248","6","0","7","271","13","2,347"
