"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","23","9","0","0","3","1","36","125","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","846","385","7","5","295","17","1,555","371","CONFIRMATION MAIL","14","7","0","1","7","0","29"
"DESIGNATED STATE AGENCIES","333","91","8","5","160","11","608","98","COUNTY TRANSFER - OUT","9,559","3,509","47","138","3,477","63","16,793"
"ELDERLY / DISABLED / SOC SEC","550","114","10","8","213","8","903","3","CRIMINAL CONVICTION","78","8","1","0","16","1","104"
"ERIC REPORT","16","19","0","2","17","0","54","5","DEATH NOTICE","1,380","645","3","6","224","28","2,286"
"FROM ANOTHER BOARD","18","11","0","1","2","1","33","21","DUPLICATE","77","22","0","1","13","3","116"
"PROVISIONAL BALLOT","10","4","0","0","2","0","16","421","MAIL VERIFICATION (NVRA)","4,711","2,780","21","108","2,151","92","9,863"
"IN PERSON","89","32","2","1","32","2","158","468","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","15959","6090","91","306","8345","104","30,895","886","MOVED OUT OF STATE","894","657","8","13","427","19","2,018"
"NVRA BY MAIL","86","29","0","0","28","0","143","35","OTHER","38","11","1","0","22","0","72"
"ONLINE REGISTRATION","1348","348","11","32","567","15","2,321","125","VOTER REQUEST","12","8","1","1","4","3","29"
"OTHER MEANS","835","153","5","10","243","4","1,250","199","","","","","","","",""
"RECRUITING","0","0","0","0","1","0","1","2","","","","","","","",""
"SOCIAL SERVICES","4","0","0","0","8","0","12","12","","","","","","","",""
"VOLUNTEER","46","12","0","2","20","1","81","0","","","","","","","",""
"TOTAL","20,163","7,297","134","372","9,936","164","38,066","2,771","TOTAL","16,763","7,647","82","268","6,341","209","31,310"
