"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","3","0","0","0","0","3","4","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","1094","490","9","20","428","25","2,066","516","CONFIRMATION MAIL","2,964","2,063","14","75","1,386","37","6,539"
"DESIGNATED STATE AGENCIES","467","79","6","7","482","18","1,059","50","COUNTY TRANSFER - OUT","5,481","2,148","43","99","2,131","64","9,966"
"ELDERLY / DISABLED / SOC SEC","335","83","2","9","552","23","1,004","1","CRIMINAL CONVICTION","169","43","2","2","47","1","264"
"ERIC REPORT","3","3","0","0","1","0","7","1","DEATH NOTICE","1,779","808","4","2","279","32","2,904"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","27","17","0","2","4","2","52"
"PROVISIONAL BALLOT","155","23","1","1","26","1","207","276","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","283","57","0","0","62","5","407","836","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","10829","4535","78","251","6446","119","22,258","462","MOVED OUT OF STATE","561","441","5","11","254","11","1,283"
"NVRA BY MAIL","45","21","0","0","26","1","93","20","OTHER","37","9","2","0","30","1","79"
"ONLINE REGISTRATION","641","207","2","9","335","8","1,202","11","VOTER REQUEST","16","8","0","0","6","0","30"
"OTHER MEANS","71","26","0","2","37","0","136","346","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","1","","","","","","","",""
"SOCIAL SERVICES","2","1","0","0","1","0","4","1","","","","","","","",""
"VOLUNTEER","16","5","0","0","7","0","28","0","","","","","","","",""
"TOTAL","13,941","5,533","98","299","8,403","200","28,474","2,525","TOTAL","11,034","5,537","70","191","4,137","148","21,117"
