"","","","","","","","","","","","","","","",""
"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","17","4","0","0","1","22","9","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","383","121","0","147","9","660","246","CONFIRMATION MAIL","2","1","0","1","1","5"
"DESIGNATED STATE AGENCIES","","349","77","0","191","27","644","65","COUNTY TRANSFER - OUT","3,417","1,196","0","1,268","117","5,998"
"ELDERLY / DISABLED / SOC SEC","","486","85","3","215","49","838","11","CRIMINAL CONVICTION","4","2","0","0","0","6"
"ERIC REPORT","","1","0","0","1","0","2","1","DEATH NOTICE","1,566","755","0","225","30","2,576"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0"
"PROVISIONAL BALLOT","","4","1","0","8","0","13","9","MAIL VERIFICATION (NVRA)","549","294","0","283","24","1,150"
"IN PERSON","","34","7","0","9","0","50","21","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","7420","2631","13","4292","156","14,512","1,146","MOVED OUT OF STATE","234","174","0","97","17","522"
"NVRA BY MAIL","","38","9","1","18","2","68","23","OTHER","66","6","0","38","7","117"
"ONLINE REGISTRATION","","629","169","1","269","11","1,079","11","VOTER REQUEST","18","8","0","15","1","42"
"OTHER MEANS","","61","19","0","23","4","107","52","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","5","0","0","1","0","6","1","","","","","","",""
"VOLUNTEER","","98","13","0","29","0","140","0","","","","","","",""
"TOTAL","","9,525","3,136","18","5,203","259","18,141","1,595","TOTAL","5,856","2,436","0","1,927","197","10,416"
