"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","9","3","0","1","0","13","1","BOARD ACTION","1","1","0","1","0","3"
"BY MAIL","","149","60","3","58","10","280","305","CONFIRMATION MAIL","4","1","0","0","1","6"
"DESIGNATED STATE AGENCIES","","282","96","1","219","17","615","115","COUNTY TRANSFER - OUT","4,654","1,383","39","1,937","139","8,152"
"ELDERLY / DISABLED / SOC SEC","","183","42","2","116","7","350","1","CRIMINAL CONVICTION","38","9","1","14","4","66"
"ERIC REPORT","","1536","458","12","687","47","2,740","0","DEATH NOTICE","2,081","907","9","356","49","3,402"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","28","5","1","8","4","46"
"PROVISIONAL BALLOT","","2","0","0","1","0","3","3","MAIL VERIFICATION (NVRA)","6,888","3,009","103","3,475","207","13,682"
"IN PERSON","","29","6","1","15","1","52","4","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","6579","2484","114","5611","276","15,064","232","MOVED OUT OF STATE","224","169","4","91","9","497"
"NVRA BY MAIL","","11","6","0","8","0","25","3","OTHER","55","10","3","52","4","124"
"ONLINE REGISTRATION","","357","134","3","208","9","711","1","VOTER REQUEST","29","12","1","20","2","64"
"OTHER MEANS","","105","37","6","81","8","237","25","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SAME DAY REGISTRATION","","2","0","0","2","0","4","0","","","","","","",""
"SOCIAL SERVICES","","0","0","0","0","0","0","0","","","","","","",""
"VOLUNTEER","","76","11","2","51","3","143","0","","","","","","",""
"TOTAL","","9,320","3,337","144","7,058","378","20,237","690","TOTAL","14,002","5,506","161","5,954","419","26,042"
