"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","13","5","0","0","2","1","21","3","BOARD ACTION","1","0","0","0","0","0","1"
"BY MAIL","506","209","3","4","139","19","880","138","CONFIRMATION MAIL","7","0","0","0","0","0","7"
"DESIGNATED STATE AGENCIES","294","57","3","4","112","16","486","112","COUNTY TRANSFER - OUT","5,787","2,299","36","100","1,986","33","10,241"
"ELDERLY / DISABLED / SOC SEC","357","81","1","4","125","5","573","4","CRIMINAL CONVICTION","64","12","0","0","17","2","95"
"ERIC REPORT","31","11","0","0","5","0","47","1","DEATH NOTICE","1,729","774","5","2","288","24","2,822"
"FROM ANOTHER BOARD","6","3","0","0","1","0","10","10","DUPLICATE","65","7","0","0","20","3","95"
"PROVISIONAL BALLOT","589","128","1","2","41","3","764","909","MAIL VERIFICATION (NVRA)","3,498","1,737","27","64","1,620","48","6,994"
"IN PERSON","83","31","0","1","17","0","132","195","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","13212","5273","77","333","7524","134","26,553","799","MOVED OUT OF STATE","674","502","9","10","299","13","1,507"
"NVRA BY MAIL","33","17","0","0","22","1","73","10","OTHER","15","5","0","0","5","0","25"
"ONLINE REGISTRATION","926","289","5","17","396","18","1,651","48","VOTER REQUEST","21","18","0","1","11","0","51"
"OTHER MEANS","83","29","1","1","29","1","144","262","","","","","","","",""
"RECRUITING","2","1","0","0","0","1","4","0","","","","","","","",""
"SOCIAL SERVICES","14","3","0","0","5","0","22","15","","","","","","","",""
"VOLUNTEER","33","8","0","1","20","0","62","0","","","","","","","",""
"TOTAL","16,182","6,145","91","367","8,438","199","31,422","2,506","TOTAL","11,861","5,354","77","177","4,246","123","21,838"
