"","","","","","","","","","","","","","","",""
"","NEW REGISTRATION BY PARTY
REMOVALS
SUMMARY","","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","0","1","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0"
"","BY MAIL","296","94","0","119","13","522","137","CONFIRMATION MAIL","10","0","0","0","0","10"
"","DESIGNATED STATE AGENCIES","142","25","0","97","9","273","50","COUNTY TRANSFER - OUT","4,009","1,677","0","1,650","135","7,471"
"","ELDERLY / DISABLED / SOC SEC","226","49","0","100","15","390","1","CRIMINAL CONVICTION","122","29","0","50","2","203"
"","ERIC REPORT","0","1","0","0","0","1","3","DEATH NOTICE","1,283","715","0","5","0","2,003"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","DUPLICATE","68","22","0","21","4","115"
"","PROVISIONAL BALLOT","4","0","0","3","0","7","0","MAIL VERIFICATION (NVRA)","241","73","0","115","25","454"
"","IN PERSON","28","10","0","9","1","48","5","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","9239","3696","17","5664","167","18,783","3,878","MOVED OUT OF STATE","123","107","0","58","6","294"
"","NVRA BY MAIL","25","11","0","14","0","50","6","OTHER","16","7","0","14","0","37"
"","ONLINE REGISTRATION","329","122","0","141","9","601","15","VOTER REQUEST","19","8","0","5","1","33"
"","OTHER MEANS","50","11","0","19","3","83","235","","","","","","",""
"","RECRUITING","0","0","0","0","1","0","1","","","","","","",""
"","SOCIAL SERVICES","2","2","0","3","0","7","2","","","","","","",""
"","VOLUNTEER","79","12","0","29","0","120","0","","","","","","",""
"","TOTAL","10,420","4,034","17","6,198","218","20,886","4,334","TOTAL","5,891","2,638","0","1,918","173","10,620"
