"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","11","6","0","3","1","21","1","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","185","56","0","55","6","302","106","CONFIRMATION MAIL","2","0","1","0","0","3"
"DESIGNATED STATE AGENCIES","","198","58","0","154","10","420","10","COUNTY TRANSFER - OUT","4,936","1,387","57","1,972","137","8,489"
"ELDERLY / DISABLED / SOC SEC","","99","17","1","64","7","188","0","CRIMINAL CONVICTION","64","15","0","14","2","95"
"ERIC REPORT","","1759","406","22","707","42","2,936","0","DEATH NOTICE","2,124","902","3","373","28","3,430"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","55","16","2","29","1","103"
"PROVISIONAL BALLOT","","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","8,394","3,606","99","4,333","223","16,655"
"IN PERSON","","28","8","0","11","1","48","3","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","6999","2498","120","5627","266","15,510","163","MOVED OUT OF STATE","336","262","2","148","11","759"
"NVRA BY MAIL","","4","2","0","5","0","11","0","OTHER","11","6","0","12","1","30"
"ONLINE REGISTRATION","","348","140","6","194","6","694","1","VOTER REQUEST","28","17","0","14","1","60"
"OTHER MEANS","","51","11","1","19","1","83","14","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SAME DAY REGISTRATION","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","0","1","0","1","0","2","1","","","","","","",""
"VOLUNTEER","","42","5","0","31","1","79","0","","","","","","",""
"TOTAL","","9,724","3,208","150","6,871","341","20,294","299","TOTAL","15,950","6,211","164","6,895","404","29,624"
