"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","6","0","6"
"BY MAIL","220","55","2","2","76","3","358","95","COUNTY TRANSFER - OUT","2,242","296","9","17","436","14","3,014"
"DESIGNATED STATE AGENCIES","2","1","0","0","0","0","3","1","CRIMINAL CONVICTION","5","1","0","0","1","0","7"
"ELDERLY / DISABLED","2","1","0","0","1","0","4","0","DEATH NOTICE","1","0","0","0","0","0","1"
"FROM ANOTHER BOARD","53","12","0","1","21","0","87","1","DUPLICATE","9","1","0","0","0","0","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","179","38","2","0","51","1","271"
"IN PERSON","3","2","0","0","1","0","6","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","775","201","7","9","340","6","1,338","166","MOVED OUT OF STATE","1","0","0","0","0","0","1"
"NVRA BY MAIL","4","0","0","0","2","0","6","0","OTHER","3","1","0","0","5","0","9"
"OTHER MEANS","48","10","0","0","17","2","77","7","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","1"
"SOCIAL SERVICES","24","4","0","0","6","0","34","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","1,131","286","9","12","464","11","1,913","274","TOTAL","2,442","337","11","17","499","15","3,321"
