"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","7","11","0","0","9","0","27","9","COUNTY TRANSFER - OUT","27","14","1","0","13","0","55"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","1","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","2","2","0","0","1","0","5"
"IN PERSON","3","3","0","0","2","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","90","67","0","1","54","1","213","67","MOVED OUT OF STATE","4","2","0","0","2","0","8"
"NVRA BY MAIL","0","2","0","0","1","0","3","1","OTHER","2","0","0","0","0","0","2"
"OTHER MEANS","1","1","0","0","1","0","3","0","VOTER REQUEST","0","2","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","3","0","0","0","0","0","3","0","","","","","","","",""
"VOLUNTEER","4","2","0","0","0","0","6","0","","","","","","","",""
"TOTAL","109","86","0","1","67","1","264","77","TOTAL","35","21","1","0","17","0","74"
