"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","3","0","0","2","0","8","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","2,051","365","6","16","433","14","2,885","10","COUNTY TRANSFER-OUT","378","152","2","7","103","5","647"
"DESIGNATED STATE AGENCIES","4","2","0","0","3","0","9","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","2","1","0","0","2","0","5","3","DEATH NOTICE","262","64","1","0","22","5","354"
"FROM ANOTHER BOARD","24","14","0","0","5","0","43","0","DUPLICATE","2","3","1","0","1","0","7"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","55","7","0","0","12","0","74"
"IN PERSON","6","5","0","0","3","0","14","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","933","447","8","12","600","3","2,003","324","MOVED OUT OF STATE","47","41","1","1","15","0","105"
"NVRA BY MAIL","80","41","0","0","29","1","151","1","OTHER","6","2","0","1","10","0","19"
"OTHER MEANS","10","1","0","0","7","0","18","273","VOTER REQUEST","2","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","13","2","0","0","10","0","25","7","","","","","","","",""
"VOLUNTEER","6","0","0","0","1","0","7","0","","","","","","","",""
"TOTAL","3,132","881","14","28","1,095","18","5,168","619","TOTAL","752","269","5","9","163","10","1,208"
