"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","0","0","2","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","25","50","0","0","28","3","106","1","COUNTY TRANSFER - OUT","73","74","0","2","42","2","193"
"DESIGNATED STATE AGENCIES","0","2","0","0","1","1","4","0","CRIMINAL CONVICTION","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","8","4","0","0","4","1","17","0","DEATH NOTICE","48","27","0","0","9","0","84"
"FROM ANOTHER BOARD","1","1","0","0","0","1","3","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","1","0","0","0","0","1"
"IN PERSON","1","5","0","0","1","0","7","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","189","211","5","6","202","7","620","7","MOVED OUT OF STATE","28","33","0","0","7","0","68"
"NVRA BY MAIL","10","22","0","0","8","1","41","5","OTHER","3","1","0","0","4","0","8"
"OTHER MEANS","1","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","9","3","0","0","5","0","17"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","24","19","0","0","12","1","56","0","","","","","","","",""
"TOTAL","261","314","5","6","256","15","857","13","TOTAL","161","139","0","2","68","2","372"
