"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","272","63","1","2","80","3","421","81","COUNTY TRANSFER - OUT","526","91","2","3","120","29","771"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","43","1","0","0","15","1","60","6","DEATH NOTICE","35","7","0","0","1","3","46"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","0","DUPLICATE","5","0","0","0","1","1","7"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1,252","266","4","1","224","104","1,851"
"IN PERSON","13","2","0","0","6","1","22","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,227","166","2","5","435","6","1,841","68","MOVED OUT OF STATE","22","10","0","0","5","1","38"
"NVRA BY MAIL","0","1","0","0","0","0","1","0","OTHER","4","1","0","0","4","0","9"
"OTHER MEANS","82","4","2","0","14","2","104","93","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","25","0","0","0","2","0","27","4","","","","","","","",""
"VOLUNTEER","9","5","0","0","5","0","19","0","","","","","","","",""
"TOTAL","1,673","242","5","7","557","13","2,497","256","TOTAL","1,844","375","6","4","355","138","2,722"
