"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","1","0","0","1","0","6","5","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","149","141","2","1","100","3","396","59","COUNTY TRANSFER - OUT","205","120","1","1","96","1","424"
"DESIGNATED STATE AGENCIES","4","3","0","0","0","0","7","1","CRIMINAL CONVICTION","1","0","0","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","10","8","0","0","0","0","18"
"FROM ANOTHER BOARD","3","4","0","0","0","0","7","8","DUPLICATE","3","2","0","0","1","0","6"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","353","191","2","3","157","2","708"
"IN PERSON","3","5","0","0","3","0","11","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","482","392","8","7","475","4","1,368","297","MOVED OUT OF STATE","48","59","0","1","36","0","144"
"NVRA BY MAIL","37","34","1","1","34","0","107","20","OTHER","2","2","0","0","1","0","5"
"OTHER MEANS","14","19","0","0","5","0","38","364","VOTER REQUEST","2","0","0","0","1","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","7","2","0","0","6","1","16","3","","","","","","","",""
"VOLUNTEER","3","3","0","0","0","0","6","0","","","","","","","",""
"TOTAL","706","604","11","9","624","8","1,962","760","TOTAL","624","382","3","5","293","3","1,310"
