"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","1","0","0","0","0","1","5","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","222","63","0","99","4","388","881","CONFIRMATION MAIL","6","4","0","2","1","13"
"DESIGNATED STATE AGENCIES","","260","61","1","215","9","546","113","COUNTY TRANSFER - OUT","5,347","1,738","60","2,330","135","9,610"
"ELDERLY / DISABLED / SOC SEC","","175","43","1","87","10","316","0","CRIMINAL CONVICTION","0","0","0","0","0","0"
"ERIC REPORT","","1346","497","17","627","37","2,524","3","DEATH NOTICE","1,623","907","0","343","41","2,914"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","94","33","0","36","6","169"
"PROVISIONAL BALLOT","","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","7,414","3,299","118","3,691","211","14,733"
"IN PERSON","","14","5","0","9","1","29","3","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","9987","3258","169","7928","367","21,709","201","MOVED OUT OF STATE","649","485","9","320","18","1,481"
"NVRA BY MAIL","","9","5","0","8","0","22","3","OTHER","82","23","1","58","6","170"
"ONLINE REGISTRATION","","263","110","10","172","5","560","2","VOTER REQUEST","37","12","2","18","2","71"
"OTHER MEANS","","37","21","1","29","4","92","22","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","1","","","","","","",""
"SAME DAY REGISTRATION","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","0","0","0","0","0","0","0","","","","","","",""
"VOLUNTEER","","15","4","1","5","2","27","1","","","","","","",""
"TOTAL","","12,329","4,067","200","9,179","439","26,214","1,235","TOTAL","15,252","6,501","190","6,798","420","29,161"
