"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","12","4","0","0","0","2","0","18","26","BOARD ACTION","0","0","0","0","0","1","0","1"
"BY MAIL","51","32","0","0","1","9","1","94","18","COUNTY TRANSFER - OUT","54","27","0","0","1","18","0","100"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","1","1","0","0","0","0","0","2"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","0","DEATH NOTICE","0","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","1","2","0","0","0","0","0","3","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","4","0","0","0","0","1","0","5","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","4","7","0","0","0","2","0","13","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","49","28","2","0","0","35","1","115","27","MOVED OUT OF STATE","6","12","0","0","0","2","0","20"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","4","1","0","0","0","1","1","7"
"OTHER MEANS","3","0","0","0","0","0","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","5","2","0","0","0","0","0","7","1","","","","","","","","",""
"VOLUNTEER","5","5","1","0","1","3","0","15","0","","","","","","","","",""
"TOTAL","136","80","3","0","2","52","2","275","72","TOTAL","65","41","0","0","1","22","1","130"
