"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","36","11","2","1","0","8","0","58","14","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","886","138","5","0","1","243","3","1,276","100","COUNTY TRANSFER - OUT","711","132","3","0","2","136","29","1,013"
"DESIGNATED STATE AGENCIES","8","1","0","0","0","2","0","11","0","CRIMINAL CONVICTION","6","0","0","0","0","0","0","6"
"ELDERLY / DISABLED","3","0","0","0","0","2","0","5","1","DEATH NOTICE","17","3","0","0","0","0","2","22"
"FROM ANOTHER BOARD","8","2","0","0","0","3","0","13","4","DUPLICATE","5","0","0","0","0","0","0","5"
"PROVISIONAL BALLOT","98","2","0","0","0","6","0","106","80","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","68","11","0","0","0","11","0","90","10","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","1,440","183","5","4","12","512","4","2,160","153","MOVED OUT OF STATE","142","37","1","0","0","42","15","237"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","6","2","0","0","0","7","0","15"
"OTHER MEANS","78","13","1","0","1","21","1","115","339","VOTER REQUEST","3","1","0","0","0","1","2","7"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","13","2","0","0","0","5","0","20","1","","","","","","","","",""
"VOLUNTEER","190","68","2","0","8","132","1","401","0","","","","","","","","",""
"TOTAL","2,828","431","15","5","22","945","9","4,255","702","TOTAL","890","176","4","0","2","186","48","1,306"
