"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","1","0","3","2","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","33","68","1","1","5","32","1","141","11","COUNTY TRANSFER - OUT","54","30","0","0","0","12","2","98"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","6","3","0","0","0","2","0","11"
"FROM ANOTHER BOARD","3","2","0","0","0","0","0","5","0","DUPLICATE","2","2","0","0","0","0","0","4"
"PROVISIONAL BALLOT","0","1","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","2","8","0","0","0","0","0","10","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","51","82","0","1","2","46","0","182","18","MOVED OUT OF STATE","19","30","1","0","1","10","0","61"
"NVRA BY MAIL","5","10","0","0","0","7","0","22","5","OTHER","0","1","0","0","0","1","0","2"
"OTHER MEANS","5","4","0","0","1","2","0","12","4","VOTER REQUEST","0","1","0","0","0","0","0","1"
"RECRUITING","6","6","0","0","0","5","0","17","8","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","0","0","0","0","0","0","2","0","","","","","","","","",""
"VOLUNTEER","14","12","1","0","0","9","0","36","0","","","","","","","","",""
"TOTAL","123","194","2","2","8","102","1","432","51","TOTAL","81","67","1","0","1","25","2","177"
