"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","318","127","2","1","0","79","5","532","383","BOARD ACTION","10","2","0","0","0","3","0","15"
"BY MAIL","4,541","2,330","25","6","46","2,068","54","9,070","1,021","COUNTY TRANSFER - OUT","4,651","1,972","29","0","27","1,239","77","7,995"
"DESIGNATED STATE AGENCIES","44","18","0","0","1","13","0","76","0","CRIMINAL CONVICTION","105","17","0","0","2","39","1","164"
"ELDERLY / DISABLED","13","2","0","0","0","5","0","20","27","DEATH NOTICE","721","374","0","0","0","101","4","1,200"
"FROM ANOTHER BOARD","53","21","0","0","0","15","1","90","32","DUPLICATE","31","14","0","0","0","3","0","48"
"PROVISIONAL BALLOT","380","67","3","1","0","54","3","508","468","MAIL VERIFICATION (NVRA)","137","51","0","0","0","14","0","202"
"IN PERSON","385","307","1","1","4","144","3","845","447","MENTAL INCOMPETENCY","1","2","0","0","0","0","0","3"
"MOTOR VEHICLE ADMINISTRATION","5,536","2,252","39","9","85","3,167","56","11,144","1,294","MOVED OUT OF STATE","652","442","10","1","6","310","18","1,439"
"NVRA BY MAIL","250","248","1","1","4","205","5","714","42","OTHER","62","18","0","0","2","41","1","124"
"OTHER MEANS","329","105","4","1","5","96","6","546","908","VOTER REQUEST","20","13","0","0","0","4","2","39"
"RECRUITING","6","6","0","0","0","5","0","17","8","CONFIRMATION MAIL","14","7","0","0","0","7","0","28"
"SOCIAL SERVICES","69","22","0","0","1","36","0","128","11","","","","","","","","",""
"VOLUNTEER","525","193","4","0","17","282","3","1,024","0","","","","","","","","",""
"TOTAL","12,449","5,698","79","20","163","6,169","136","24,714","4,641","TOTAL","6,404","2,912","39","1","37","1,761","103","11,257"
