"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","6","0","0","0","1","0","10","0","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","51","54","0","0","0","24","15","144","1","COUNTY TRANSFER - OUT","23","22","0","0","0","13","0","58"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","17","8","0","0","0","3","1","29"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","0","DUPLICATE","1","1","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","6","9","0","0","0","9","0","24"
"IN PERSON","2","3","0","0","0","0","0","5","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","96","74","0","0","2","65","2","239","1","MOVED OUT OF STATE","10","17","0","0","0","10","1","38"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","2","4","0","1","0","6","0","13","1","VOTER REQUEST","1","1","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","3","0","0","0","1","0","7"
"SOCIAL SERVICES","0","0","0","0","0","1","0","1","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","155","141","0","1","2","97","17","413","4","TOTAL","62","61","0","0","0","37","2","162"
