"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","62","27","0","0","0","15","2","106","6","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","523","266","5","0","12","270","4","1,080","13","COUNTY TRANSFER-OUT","890","270","7","0","4","180","17","1,368"
"DESIGNATED STATE AGENCIES","4","4","0","0","1","4","0","13","0","CRIMINAL CONVICTION","9","1","0","0","1","3","0","14"
"ELDERLY / DISABLED","1","1","0","0","0","0","0","2","0","DEATH NOTICE","16","8","0","0","0","0","1","25"
"FROM ANOTHER BOARD","5","1","0","0","0","1","0","7","0","DUPLICATE","12","9","0","0","0","1","0","22"
"PROVISIONAL BALLOT","66","7","1","0","0","9","2","85","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","36","16","1","0","1","12","0","66","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","601","238","4","2","9","267","15","1,136","64","MOVED OUT OF STATE","44","16","1","0","0","10","0","71"
"NVRA BY MAIL","105","59","0","0","1","68","1","234","1","OTHER","11","1","0","0","1","6","0","19"
"OTHER MEANS","52","19","1","0","0","14","2","88","151","VOTER REQUEST","0","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","5","0","0","0","0","0","0","5"
"SOCIAL SERVICES","6","0","0","0","0","6","0","12","2","","","","","","","","",""
"VOLUNTEER","7","3","0","0","1","4","0","15","0","","","","","","","","",""
"TOTAL","1,468","641","12","2","25","670","26","2,844","237","TOTAL","988","306","8","0","6","200","18","1,526"
