"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","367","128","3","4","174","13","689","142","CONFIRMATION MAIL","12","6","0","0","5","0","23"
"DESIGNATED STATE AGENCIES","5","4","1","0","6","0","16","0","COUNTY TRANSFER - OUT","2,839","1,111","23","45","1,127","30","5,175"
"ELDERLY / DISABLED","1","2","0","0","0","0","3","4","CRIMINAL CONVICTION","56","15","0","0","13","0","84"
"FROM ANOTHER BOARD","5","9","0","1","6","0","21","21","DEATH NOTICE","2,520","1,061","5","5","395","58","4,044"
"PROVISIONAL BALLOT","2","0","0","0","0","1","3","7","DUPLICATE","76","29","0","1","22","5","133"
"IN PERSON","32","11","0","0","15","1","59","7","MAIL VERIFICATION (NVRA)","11,188","5,094","81","123","6,347","137","22,970"
"MOTOR VEHICLE ADMINISTRATION","7541","3296","67","169","4595","88","15,756","1,139","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"NVRA BY MAIL","25","17","0","0","15","2","59","10","MOVED OUT OF STATE","367","307","4","8","195","7","888"
"ONLINE REGISTRATION","263","83","1","4","84","4","439","5","OTHER","45","18","0","1","21","0","85"
"OTHER MEANS","140","75","2","5","123","1","346","338","VOTER REQUEST","8","6","0","1","4","0","19"
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","","0"
"SOCIAL SERVICES","26","7","0","1","19","0","53","19","","","","","","","",""
"VOLUNTEER","23","11","0","0","11","1","46","0","","","","","","","",""
"TOTAL","8,431","3,643","74","184","5,048","111","17,491","1,694","TOTAL","17,111","7,647","113","184","8,129","237","33,421"
