"","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","5","0","0","0","0","0","5","3","BOARD ACTION","1","1","0","0","0","0","2"
"","BY MAIL","436","118","2","3","131","8","698","140","CONFIRMATION MAIL","8","2","0","0","1","0","11"
"","DESIGNATED STATE AGENCIES","163","25","1","3","54","10","256","78","COUNTY TRANSFER - OUT","2,532","828","22","27","754","20","4,183"
"","ELDERLY / DISABLED / SOC SEC","260","46","0","7","151","10","474","6","CRIMINAL CONVICTION","104","17","1","0","33","0","155"
"","ERIC REPORT","0","1","0","0","0","0","1","6","DEATH NOTICE","1,589","729","1","2","213","23","2,557"
"","FROM ANOTHER BOARD","8","3","1","0","9","1","22","6","DUPLICATE","18","5","0","0","7","4","34"
"","PROVISIONAL BALLOT","3","1","0","0","1","0","5","2","MAIL VERIFICATION (NVRA)","197","109","1","3","115","5","430"
"","IN PERSON","53","10","1","1","8","0","73","13","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","6790","2644","51","147","3667","123","13,422","1,153","MOVED OUT OF STATE","232","195","0","5","125","9","566"
"","NVRA BY MAIL","35","6","0","1","12","1","55","4","OTHER","26","5","1","0","13","1","46"
"","ONLINE REGISTRATION","375","105","2","3","160","3","648","16","VOTER REQUEST","14","2","0","0","7","1","24"
"","OTHER MEANS","58","11","0","2","25","1","97","117","","","","","","","",""
"","RECRUITING","0","2","0","0","1","0","3","0","","","","","","","",""
"","SOCIAL SERVICES","4","1","0","0","5","0","10","4","","","","","","","",""
"","VOLUNTEER","92","16","1","0","55","0","164","0","","","","","","","",""
"","TOTAL","8,282","2,989","59","167","4,279","157","15,933","1,548","TOTAL","4,721","1,893","26","37","1,268","63","8,008"
