"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","3","0","0","0","0","0","0","5","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","96","61","2","0","3","0","68","4","234","5","COUNTY TRANSFER - OUT","403","271","3","0","2","0","218","11","908"
"DESIGNATED STATE AGENCIES","3","1","0","0","0","0","1","0","5","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","4","3","0","0","0","0","2","0","9"
"FROM ANOTHER BOARD","17","10","0","0","0","0","9","0","36","0","DUPLICATE","4","6","0","0","0","0","1","0","11"
"PROVISIONAL BALLOT","355","220","3","1","3","1","127","6","716","36","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","13","9","0","0","0","0","7","0","29","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","375","221","5","0","13","0","250","12","876","27","MOVED OUT OF STATE","11","11","0","0","0","0","5","0","27"
"NVRA BY MAIL","22","11","0","0","0","0","7","0","40","1","OTHER","2","2","0","0","0","0","2","0","6"
"OTHER MEANS","6","3","0","0","0","0","1","0","10","0","VOTER REQUEST","0","1","0","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","23","7","0","0","0","0","7","0","37"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","889","539","10","1","19","1","470","22","1,951","70","TOTAL","447","301","3","0","2","0","236","11","1,000"
