"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","3","0","0","0","0","1","1","5","1","BOARD ACTION","0","1","0","0","0","0","0","0","1"
"BY MAIL","128","141","1","1","2","0","85","2","360","3","COUNTY TRANSFER - OUT","124","119","3","0","1","0","65","0","312"
"DESIGNATED STATE AGENCIES","8","1","0","0","0","0","4","0","13","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","20","10","0","0","0","0","11","0","41"
"FROM ANOTHER BOARD","8","6","0","0","0","0","6","0","20","0","DUPLICATE","7","6","0","0","0","0","5","0","18"
"PROVISIONAL BALLOT","20","23","0","0","0","0","5","1","49","5","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","22","24","0","0","0","0","8","0","54","15","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","107","105","2","1","2","0","102","2","321","4","MOVED OUT OF STATE","41","84","1","0","2","0","26","0","154"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","3","0","0","0","0","0","4","0","7"
"OTHER MEANS","3","2","1","0","0","0","4","0","10","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","296","305","4","2","4","0","215","6","832","28","TOTAL","196","220","4","0","3","0","111","0","534"
