"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","0","0","0","0","3","2","BOARD ACTION","5","0","0","0","0","0","2","0","7"
"BY MAIL","106","47","2","0","2","0","50","2","209","43","COUNTY TRANSFER - OUT","347","107","2","0","1","0","81","3","541"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","0","0","1","0","2"
"FROM ANOTHER BOARD","41","19","0","0","2","0","12","0","74","15","DUPLICATE","8","3","0","0","0","0","2","0","13"
"PROVISIONAL BALLOT","44","12","0","0","1","0","12","2","71","8","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","6","0","0","0","0","0","1","0","7","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","380","74","3","1","6","0","156","7","627","84","MOVED OUT OF STATE","0","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","159","29","6","0","1","1","51","3","250","0","OTHER","2","1","0","0","0","0","0","0","3"
"OTHER MEANS","17","4","2","0","0","0","9","1","33","5","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","7","0","0","0","0","0","0","0","7"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","1","0","3","0","","","","","","","","","",""
"TOTAL","757","186","13","1","12","1","293","15","1,278","159","TOTAL","370","111","2","0","1","0","86","3","573"
