"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","2","0","0","0","0","1","0","3","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","5","10","0","0","0","0","4","0","19","0","COUNTY TRANSFER - OUT","16","12","0","0","0","0","8","0","36"
"DESIGNATED STATE AGENCIES","1","0","0","0","1","0","0","0","2","0","CRIMINAL CONVICTION","0","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","19","4","0","0","0","0","3","1","27"
"FROM ANOTHER BOARD","3","3","0","0","0","0","1","1","8","0","DUPLICATE","1","1","0","0","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","1","0","1","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","4","7","0","0","1","0","0","0","12","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","50","47","1","0","0","0","75","4","177","1","MOVED OUT OF STATE","4","6","0","0","0","0","3","0","13"
"NVRA BY MAIL","0","2","0","0","0","0","0","0","2","0","OTHER","1","1","0","0","0","0","28","0","30"
"OTHER MEANS","12","12","0","0","0","0","11","0","35","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","0","0","1","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","75","83","1","0","2","0","93","5","259","2","TOTAL","41","26","0","0","0","0","44","1","112"
