"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","","WCP UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","114","24","0","0","2","23","4","167","129","BOARD ACTION","1","1","0","0","0","0","0","2"
"BY MAIL","278","117","1","4","1","96","11","508","60","CONFIRMATION MAIL","1","1","0","0","0","0","0","2"
"DESIGNATED STATE AGENCIES","9","1","0","0","0","1","0","11","7","COUNTY TRANSFER - OUT","1,366","366","3","9","4","290","23","2,061"
"ELDERLY / DISABLED / SOC SEC","174","37","0","3","1","22","4","241","0","CRIMINAL CONVICTION","72","16","0","0","1","29","3","121"
"ERIC REPORT","1","0","0","0","0","0","0","1","2","DEATH NOTICE","1,700","844","0","7","2","342","43","2,938"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","224","54","1","2","0","72","8","361"
"PROVISIONAL BALLOT","1181","313","2","2","0","131","7","1,636","2,475","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","7","4","0","0","0","2","0","13","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","414","112","2","6","3","209","12","758","19","MOVED OUT OF STATE","290","127","1","3","0","126","4","551"
"NVRA BY MAIL","5","2","0","0","0","1","0","8","4","OTHER","20","2","0","0","0","6","2","30"
"ONLINE REGISTRATION","362","43","1","1","1","102","5","515","95","VOTER REQUEST","25","4","0","0","0","20","2","51"
"OTHER MEANS","116","39","0","2","1","52","3","213","24","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SAME DAY REGISTRATION","807","323","1","0","0","69","0","1,200","554","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","8","0","0","0","0","2","0","10","0","","","","","","","","",""
"TOTAL","3,476","1,015","7","18","9","710","46","5,281","3,369","TOTAL","3,699","1,415","5","21","7","885","85","6,117"
