"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2044","467","4","15","3","1","579","34","3,147","4,241","BOARD ACTION","2","1","0","0","0","0","1","0","4"
"BY MAIL","1719","614","5","15","4","0","639","36","3,032","707","CONFIRMATION MAIL","5","0","0","0","0","0","4","0","9"
"DESIGNATED STATE AGENCIES","210","36","0","0","4","0","99","22","371","6","COUNTY TRANSFER - OUT","10,212","2,922","30","103","6","5","3,629","173","17,080"
"ELDERLY / DISABLED / SOC SEC","5948","1415","23","108","23","11","2645","192","10,365","63","CRIMINAL CONVICTION","48","12","0","1","0","0","12","1","74"
"ERIC REPORT","4","2","0","0","0","0","2","0","8","0","DEATH NOTICE","2,510","1,034","4","5","0","1","452","62","4,068"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","48","12","0","0","0","0","17","1","78"
"PROVISIONAL BALLOT","164","64","0","1","0","0","36","1","266","590","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","633","221","0","3","0","1","198","5","1,061","31","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","5606","2012","19","80","20","7","2913","67","10,724","639","MOVED OUT OF STATE","893","604","2","13","0","0","354","17","1,883"
"NVRA BY MAIL","77","38","0","1","0","0","23","0","139","39","OTHER","19","4","0","0","0","0","10","3","36"
"ONLINE REGISTRATION","14097","5720","96","253","113","7","8087","192","28,565","150","VOTER REQUEST","15","10","0","1","0","0","12","1","39"
"OTHER MEANS","389","72","2","5","2","0","133","9","612","329","","","","","","","","","",""
"RECRUITING","1","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY REGISTRATION","1977","1101","2","20","3","0","786","26","3,915","13","","","","","","","","","",""
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","1544","763","13","45","33","4","840","35","3,277","12","","","","","","","","","",""
"TOTAL","34,414","12,525","164","546","205","31","16,980","619","65,483","6,820","TOTAL","13,752","4,599","36","123","6","6","4,491","258","23,271"
