"","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","1","0","0","1","0","2","5","","BOARD ACTION","0","0","0","0","0","0"
"","BY MAIL","300","81","0","114","12","507","197","","CONFIRMATION MAIL","8","3","0","5","0","16"
"","DESIGNATED STATE AGENCIES","183","45","0","114","12","354","116","","COUNTY TRANSFER - OUT","3,341","1,261","1","1,212","115","5,930"
"","ELDERLY / DISABLED / SOC SEC","231","37","0","87","12","367","0","","CRIMINAL CONVICTION","154","32","0","58","5","249"
"","ERIC REPORT","3","2","0","1","0","6","2","","DEATH NOTICE","1,906","839","0","281","32","3,058"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","","DUPLICATE","116","24","0","35","7","182"
"","PROVISIONAL BALLOT","0","0","0","0","0","0","0","","MAIL VERIFICATION (NVRA)","7,798","3,392","0","3,446","317","14,953"
"","IN PERSON","29","10","0","8","0","47","3","","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","8006","3162","31","4582","214","15,995","502","","MOVED OUT OF STATE","438","394","0","211","17","1,060"
"","NVRA BY MAIL","28","14","0","16","0","58","9","","OTHER","39","12","0","17","8","76"
"","ONLINE REGISTRATION","216","91","2","98","3","410","8","","VOTER REQUEST","12","3","0","4","0","19"
"","OTHER MEANS","33","9","0","15","0","57","128","","","","","","","",""
"","RECRUITING","0","0","0","0","0","0","1","","","","","","","",""
"","SOCIAL SERVICES","1","0","0","0","0","1","0","","","","","","","",""
"","VOLUNTEER","74","11","0","21","2","108","0","","","","","","","",""
"","TOTAL","9,105","3,462","33","5,057","255","17,912","971","","TOTAL","13,812","5,960","1","5,269","501","25,543"
