"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","1","BOARD ACTION","1","1","0","0","0","0","0","0","2"
"BY MAIL","25","20","0","0","1","1","15","0","62","1","COUNTY TRANSFER - OUT","13","31","2","0","0","0","15","0","61"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","9","3","0","0","0","0","5","0","17"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","1","DEATH NOTICE","31","22","0","0","0","0","3","0","56"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","1","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","3","0","0","0","0","1","0","5","0","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","67","40","0","1","13","0","47","0","168","19","MOVED OUT OF STATE","15","18","0","0","1","1","6","0","41"
"NVRA BY MAIL","1","1","0","0","0","0","1","0","3","0","OTHER","2","0","0","0","0","0","2","0","4"
"OTHER MEANS","1","5","0","0","0","0","1","0","7","0","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","391","459","8","0","1","4","247","9","1,119"
"SOCIAL SERVICES","","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","9","3","0","0","0","0","4","0","16","0","","","","","","","","","",""
"TOTAL","104","73","0","1","14","1","69","0","262","22","TOTAL","463","535","10","0","2","5","278","9","1,302"
