"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","2","2","BOARD ACTION","0","0","0","0","0","0","1","0","1"
"BY MAIL","440","132","2","0","5","3","110","3","695","67","COUNTY TRANSFER-OUT","577","213","3","0","0","3","156","16","968"
"DESIGNATED STATE AGENCIES","5","0","0","0","0","0","3","0","8","0","CRIMINAL CONVICTION","36","11","1","0","1","0","18","0","67"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","544","177","0","0","0","0","27","4","752"
"FROM ANOTHER BOARD","15","10","0","0","0","0","10","2","37","3","DUPLICATE","16","9","0","0","0","0","8","1","34"
"PROVISIONAL BALLOT","4","1","0","0","0","0","2","0","7","1","MAIL VERIFICATION (NVRA)","5,646","2,591","46","0","4","32","1,953","152","10,424"
"IN PERSON","5","2","0","0","0","0","2","0","9","2","MENTAL INCOMPETENCY","4","1","0","0","0","0","1","0","6"
"MOTOR VEHICLE ADMINISTRATION","643","214","5","1","59","6","232","4","1,164","498","MOVED OUT OF STATE","444","271","3","0","1","2","140","15","876"
"NVRA BY MAIL","25","10","0","0","0","0","9","0","44","2","OTHER","31","2","0","0","2","0","12","0","47"
"OTHER MEANS","5","4","0","0","0","0","2","0","11","229","VOTER REQUEST","2","2","0","0","0","0","1","0","5"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","333","149","2","0","0","1","102","5","592"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","1,143","373","7","1","64","9","371","9","1,977","805","TOTAL","7,633","3,426","55","0","8","38","2,419","193","13,772"
