"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","31","41","1","0","1","2","35","2","113","14","COUNTY TRANSFER - OUT","47","66","1","0","0","1","33","0","148"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","0","0","3","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","41","37","0","0","0","0","4","0","82"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","62","59","0","0","12","0","43","0","176","39","MOVED OUT OF STATE","9","30","1","0","0","0","7","0","47"
"NVRA BY MAIL","2","2","0","0","0","0","1","0","5","1","OTHER","1","4","0","0","0","0","4","0","9"
"OTHER MEANS","3","3","0","0","0","0","1","0","7","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","597","1,114","11","0","2","4","432","0","2,160"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","98","105","1","0","13","2","80","2","301","54","TOTAL","696","1,252","13","0","2","5","483","0","2,451"
