"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","0","2","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","158","110","2","1","1","91","3","366","42","COUNTY TRANSFER - OUT","923","382","6","0","12","456","0","1,779"
"DESIGNATED STATE AGENCIES","3","1","0","0","1","1","0","6","0","CRIMINAL CONVICTION","18","3","0","0","0","6","0","27"
"ELDERLY / DISABLED","0","0","0","0","0","1","0","1","2","DEATH NOTICE","44","22","0","0","0","7","0","73"
"FROM ANOTHER BOARD","4","2","0","0","0","1","0","7","3","DUPLICATE","2","1","0","0","0","1","0","4"
"PROVISIONAL BALLOT","1","1","0","0","0","1","0","3","1","MAIL VERIFICATION (NVRA)","1","0","0","0","0","2","0","3"
"IN PERSON","13","3","0","0","0","3","1","20","8","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","413","345","2","2","12","420","7","1,201","138","MOVED OUT OF STATE","63","48","0","0","2","36","0","149"
"NVRA BY MAIL","9","6","0","0","1","14","0","30","6","OTHER","4","3","0","0","1","6","0","14"
"OTHER MEANS","6","4","0","0","0","1","0","11","6","VOTER REQUEST","6","9","0","0","0","2","0","17"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","609","473","4","3","15","533","11","1,648","207","TOTAL","1,061","468","6","0","15","516","0","2,066"
